collection_name	dataset_id	n_cells	n_donors	n_cell_types	assays	tissues	diseases	sexes	age_terms	suspension_types	collection_id	dataset_total_cell_count	dataset_h5ad_path
Transcriptomic and spatial dissection of human ex vivo right atrial tissue reveals proinflammatory microvascular changes in ischemic heart disease	f1606894-59df-4794-a37f-baa7c6fb6de1	257304	33	11	10x 3' v3	right atrium auricular region	coronary artery disorder, myocardial infarction, normal	male & female	40yo-80yo, fifth decade stage (6905), sixth decade stage (38862), seventh decade stage (101227), eighth decade stage (94646), ninth decade stage (15664)	nucleus	8c782494-01ed-491b-97b9-6f0d3b76c676	392819	f1606894-59df-4794-a37f-baa7c6fb6de1.h5ad
A pancreatic islet scRNA-seq atlas from 48 non-diabetic, prediabetic and type 2 diabetic individuals of matched demographic and ethnic backgrounds	e51bae9a-c747-4b64-904a-4da7cda218ab	245878	48	12	10x 3' v2, 10x 3' v3	islet of Langerhans	normal, prediabetes syndrome, type 2 diabetes mellitus	male & female	21yo-66yo, 21-year-old stage (3620), 25-year-old stage (2712), 26-year-old stage (4468), 30-year-old stage (5574), 32-year-old stage (5655), 34-year-old stage (5385), 35-year-old stage (13244), 37-year-old stage (16656), 38-year-old stage (6159), 40-year-old stage (5244), 42-year-old stage (2820), 45-year-old stage (5549), 48-year-old stage (14921), 49-year-old stage (4680), 50-year-old stage (16764), 51-year-old stage (16531), 52-year-old stage (22216), 53-year-old stage (26168), 54-year-old stage (8591), 55-year-old stage (3442), 57-year-old stage (3494), 58-year-old stage (12896), 59-year-old stage (5112), 60-year-old stage (14629), 61-year-old stage (3910), 62-year-old stage (9080), 63-year-old stage (2354), 66-year-old stage (4004)	cell	58e85c2f-d52e-4c19-8393-b854b84d516e	245878	e51bae9a-c747-4b64-904a-4da7cda218ab.h5ad
Transcriptomic cytoarchitecture reveals principles of human neocortex organization	8d1dd010-5cbc-43fb-83f8-e0de8e8517da	241077	5	18	10x 3' v3	primary visual cortex	normal	male & female	29yo-60yo, 29-year-old stage (46881), 42-year-old stage (50697), 43-year-old stage (40494), 50-year-old stage (72382), 60-year-old stage (30623)	nucleus	d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	241077	8d1dd010-5cbc-43fb-83f8-e0de8e8517da.h5ad
Multimodal profiling reveals tissue-directed signatures of human immune cells altered with age	1b350d0a-4535-4879-beb6-1142f3f94947	234006	23	31	10x 3' v3, 10x 5' v2	colonic epithelium, jejunum lamina propria, lamina propria of mucosa of colon, liver, lung	normal	male & female	20yo-75yo, 20-year-old stage (9136), third decade stage (19819), 23-year-old stage (15663), 25-year-old stage (24446), 27-year-old stage (17301), fourth decade stage (3202), 33-year-old stage (12708), fifth decade stage (14642), 48-year-old stage (12711), sixth decade stage (14617), 56-year-old stage (20150), 64-year-old stage (11404), 67-year-old stage (16761), 68-year-old stage (15261), eighth decade stage (9184), 73-year-old stage (11127), 75-year-old stage (5874)	cell	cc431242-35ea-41e1-a100-41e0dec2665b	1281499	1b350d0a-4535-4879-beb6-1142f3f94947.h5ad
Cells of the human intestinal tract mapped across space and time	80a2c5b6-02e7-4fc0-9f12-179f5247c1bc	233140	16	82	10x 3' v2, 10x 5' v2	ascending colon, colon, descending colon, duodenum, ileum, jejunum, large intestine, rectum, sigmoid colon, small intestine, transverse colon	normal	male & female	prenatal-70yo, Carnegie stage 16 (11026), 11th week post-fertilization stage (34177), 12th week post-fertilization stage (8379), 15th week post-fertilization stage (47836), 16th week post-fertilization stage (24767), 17th week post-fertilization stage (8964), 4-year-old stage (7585), third decade stage (23592), fifth decade stage (8019), sixth decade stage (30026), seventh decade stage (23789), eighth decade stage (4980)	cell	e33ffcd3-7cbf-4b8c-b0f4-85587ad5019a	428469	80a2c5b6-02e7-4fc0-9f12-179f5247c1bc.h5ad
Mapping the developing human immune system across organs	fd072bc3-2dfb-46f8-b4e3-467cb3223182	230001	14	64	10x 3' v2, 10x 5' v1	kidney, liver	normal	male & female	prenatal-prenatal, Carnegie stage 19 (13034), Carnegie stage 20 (32200), Carnegie stage 22 (13798), Carnegie stage 23 (26280), 9th week post-fertilization stage (25391), 10th week post-fertilization stage (15644), 11th week post-fertilization stage (7793), 13th week post-fertilization stage (19544), 14th week post-fertilization stage (14698), 15th week post-fertilization stage (19178), 16th week post-fertilization stage (9772), 17th week post-fertilization stage (32669)	cell	b1a879f6-5638-48d3-8f64-f6592c1b1561	908046	fd072bc3-2dfb-46f8-b4e3-467cb3223182.h5ad
An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5)	dea717d4-7bc0-4e46-950f-fd7e1cc8df7d	225177	77	25	10x 3' v3	kidney	acute kidney failure, chronic kidney disease, normal	male & female	20yo-80yo, third decade stage (8289), 30-year-old stage (1516), fourth decade stage (33053), 31-year-old stage (2078), 35-year-old stage (2923), 39-year-old stage (1053), 40-year-old stage (907), fifth decade stage (9247), 41-year-old stage (1395), 42-year-old stage (2666), 47-year-old stage (807), 48-year-old stage (574), 49-year-old stage (1152), sixth decade stage (31813), 52-year-old stage (1510), 53-year-old stage (3795), 56-year-old stage (2776), 57-year-old stage (1568), seventh decade stage (80653), 66-year-old stage (597), eighth decade stage (29022), ninth decade stage (7783)	cell	0f528c8a-a25c-4840-8fa3-d156fa11086f	225177	dea717d4-7bc0-4e46-950f-fd7e1cc8df7d.h5ad
A spatially resolved atlas of the human lung characterizes a gland-associated immune niche	093d3bfe-6f0f-4ac0-a7a1-829f94d0a49f	193108	10	60	10x 3' v2, 10x 3' v3, 10x 5' transcription profiling	bronchus, lower lobe of left lung, lung, trachea, upper lobe of left lung	normal	male & female	29yo-75yo, 29-year-old stage (806), 35-year-old stage (27004), sixth decade stage (8479), 58-year-old stage (23094), 59-year-old stage (20690), seventh decade stage (27277), 64-year-old stage (43777), 66-year-old stage (16294), 75-year-old stage (25687)	cell, nucleus	c1241244-b22d-483d-875b-75699efb9f3c	193108	093d3bfe-6f0f-4ac0-a7a1-829f94d0a49f.h5ad
Spatial multi-omic map of human myocardial infarction	1c739a3e-c3f5-49d5-98e0-73975e751201	191795	20	11	10x 3' v3	heart left ventricle	myocardial infarction, normal	male & female	38yo-74yo, 38-year-old stage (6043), 40-year-old stage (6279), 43-year-old stage (9365), 44-year-old stage (45495), 47-year-old stage (11250), 51-year-old stage (3654), 52-year-old stage (24427), 55-year-old stage (10682), 57-year-old stage (20677), 58-year-old stage (6140), 59-year-old stage (8567), 60-year-old stage (6256), 61-year-old stage (8692), 63-year-old stage (13270), 64-year-old stage (5306), 66-year-old stage (3073), 74-year-old stage (2619)	nucleus	8191c283-0816-424b-9b61-c3e1d6258a77	191795	1c739a3e-c3f5-49d5-98e0-73975e751201.h5ad
Transcriptomic and spatial dissection of human ex vivo right atrial tissue reveals proinflammatory microvascular changes in ischemic heart disease	8f4f8502-9170-4ac2-9707-3b6985ebfe5f	173655	38	12	10x 3' v3	right atrium auricular region	heart failure, myocardial ischemia, normal	male & female	40yo-80yo, fifth decade stage (30909), sixth decade stage (30858), seventh decade stage (61473), eighth decade stage (37861), ninth decade stage (12554)	nucleus	8c782494-01ed-491b-97b9-6f0d3b76c676	221756	8f4f8502-9170-4ac2-9707-3b6985ebfe5f.h5ad
Molecular and cellular evolution of the primate dorsolateral prefrontal cortex	3c361813-5d5e-4868-bfe5-e7591e7b5381	172120	4	25	10x 3' v3	dorsolateral prefrontal cortex	normal	male & female	19yo-64yo, 19-year-old stage (49498), 36-year-old stage (39406), 50-year-old stage (38098), 64-year-old stage (45118)	nucleus	e1fa9900-3fc9-4b57-9dce-c95724c88716	172120	3c361813-5d5e-4868-bfe5-e7591e7b5381.h5ad
Spatial proteogenomics reveals distinct and evolutionarily conserved hepatic macrophage niches	e84f2780-51e8-4cfa-8aa0-13bbfef677c7	167598	19	14	10x 3' v2, 10x 3' v3	liver	normal	male & female	18yo-77yo, adult stage (39132), 28-year-old stage (3013), 33-year-old stage (11), 46-year-old stage (6295), 49-year-old stage (9350), 53-year-old stage (2212), 55-year-old stage (7741), 58-year-old stage (5403), 64-year-old stage (1480), 66-year-old stage (22272), 67-year-old stage (58), 68-year-old stage (8111), 72-year-old stage (23897), 73-year-old stage (14539), 75-year-old stage (15560), 77-year-old stage (8524)	cell, nucleus	74e10dc4-cbb2-4605-a189-8a1cd8e44d8c	167598	e84f2780-51e8-4cfa-8aa0-13bbfef677c7.h5ad
A single-cell atlas of human and mouse white adipose tissue	ca46ffe6-0a26-4d8d-82fa-81722daf1102	166149	22	16	10x 3' v3, Drop-seq	omental fat pad, subcutaneous adipose tissue	normal	male & female	24yo-73yo, 24-year-old stage (15805), 29-year-old stage (18234), 35-year-old stage (13316), 36-year-old stage (16416), 41-year-old stage (44037), 49-year-old stage (4555), 51-year-old stage (2039), 53-year-old stage (10445), 54-year-old stage (417), 57-year-old stage (5711), 58-year-old stage (2066), 59-year-old stage (3907), 68-year-old stage (12556), 71-year-old stage (4607), 73-year-old stage (12038)	cell, nucleus	fe0e718d-2ee9-42cc-894b-0b490f437dfd	166149	ca46ffe6-0a26-4d8d-82fa-81722daf1102.h5ad
Automatic cell-type harmonization and integration across Human Cell Atlas datasets	15d374d6-0dfd-4d8e-ade7-81f73dc921ee	165109	27	16	10x 3' v2, 10x 3' v3, 10x 5' v1	skeletal muscle organ, vertebrate	normal	male & female, unknown	19yo-90yo, 19-year-old stage (4150), 20-year-old stage (6176), 21-year-old stage (24634), 22-year-old stage (14685), 43-year-old stage (3710), 54-year-old stage (4162), 62-year-old stage (3998), 70-year-old stage (12525), 71-year-old stage (885), 72-year-old stage (12351), 74-year-old stage (799), 75-year-old stage (16504), 76-year-old stage (8790), 77-year-old stage (727), 79-year-old stage (14979), 81-year-old stage (6066), 82-year-old stage (7887), 90-year-old stage (22081)	cell, nucleus	854c0855-23ad-4362-8b77-6b1639e7a9fc	201575	15d374d6-0dfd-4d8e-ade7-81f73dc921ee.h5ad
Neural Organoid Hormonal Atlas (NOHA)	64267fb5-7b70-4705-a13b-cc38966c22a8	163714	2	2	10x 3' v3	forebrain	normal	male & female	prenatal-prenatal, Carnegie stage 01 (163714)	cell	2bebc4ae-69a2-4001-9d2f-091ec9b4020c	163714	64267fb5-7b70-4705-a13b-cc38966c22a8.h5ad
Cortical brain samples from C9-ALS, C9-ALS/FTD, C9-FTD patients and age matched controls	98f5d518-1e60-4307-b732-ab045cd3cbc2	160658	21	6	10x 3' v3	frontal cortex	amyotrophic lateral sclerosis, amyotrophic lateral sclerosis 26 with or without frontotemporal dementia, normal	male & female	43yo-73yo, 43-year-old stage (7575), 47-year-old stage (14294), 50-year-old stage (5684), 51-year-old stage (7799), 54-year-old stage (4707), 56-year-old stage (12721), 58-year-old stage (8353), 59-year-old stage (14028), 61-year-old stage (15622), 66-year-old stage (15143), 68-year-old stage (13733), 70-year-old stage (5969), 71-year-old stage (16211), 72-year-old stage (8535), 73-year-old stage (10284)	nucleus	aee9c366-f2fb-470b-8937-577d5d87d3fc	160658	98f5d518-1e60-4307-b732-ab045cd3cbc2.h5ad
Transcriptomic cytoarchitecture reveals principles of human neocortex organization	93cb76aa-a84b-4a92-8e6c-66a914e26d4c	153159	5	18	10x 3' v3	primary somatosensory cortex	normal	male & female	29yo-60yo, 29-year-old stage (39644), 42-year-old stage (41102), 43-year-old stage (4774), 50-year-old stage (58969), 60-year-old stage (8670)	nucleus	d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	153159	93cb76aa-a84b-4a92-8e6c-66a914e26d4c.h5ad
Charting human development using a multi-endodermal organ atlas and organoid models	9968be68-ab65-4a38-9e1a-c9b6abece194	151204	14	20	10x 3' v2, 10x 3' v3	body of stomach, colon, duodenum, epithelium of trachea, esophagus, ileum, jejunum, liver, lung, small intestine, stomach	normal	male & female	prenatal-prenatal, 9th week post-fertilization stage (5115), 11th week post-fertilization stage (3774), 12th week post-fertilization stage (26108), 13th week post-fertilization stage (1387), 15th week post-fertilization stage (40867), 17th week post-fertilization stage (3440), 18th week post-fertilization stage (32935), 19th week post-fertilization stage (24600), 21st week post-fertilization stage (3674), embryonic stage (9304)	cell	dfc09a93-bce0-4c77-893d-e153d1b7f9fa	155232	9968be68-ab65-4a38-9e1a-c9b6abece194.h5ad
Cross-dementia human brain snRNA-seq (Rexach et al 2024)	ac0c6561-7a48-4185-af6f-af799f699172	147262	18	9	10x 3' v2, 10x 3' v3	insular cortex, primary visual cortex	Alzheimer disease, normal	male & female	58yo-80yo+, 58-year-old stage (16284), 60-79 year-old stage (90406), 60-year-old stage (10197), 61-year-old stage (7688), 64-year-old stage (9646), 80 year-old and over stage (13041)	nucleus	c53573b2-eff4-4c5e-9ad0-b24d422dfd9b	432555	ac0c6561-7a48-4185-af6f-af799f699172.h5ad
Cellular development and evolution of the mammalian cerebellum	bab7432a-5cfe-45ea-928c-422d03c45cdd	146377	23	25	10x 3' v2, 10x 3' v3	cerebellar cortex, cerebellum, cerebellum vermis lobule	acute myocardial infarction, normal	male & female	prenatal-46yo, Carnegie stage 18 (6650), Carnegie stage 19 (6087), Carnegie stage 22 (39300), 9th week post-fertilization stage (13847), 11th week post-fertilization stage (13445), 17th week post-fertilization stage (13197), 20th week post-fertilization stage (7849), newborn stage (0-28 days) (11141), 6-month-old stage (3181), 7-month-old stage (4985), 9-month-old stage (4462), 3-year-old stage (14200), 46-year-old stage (8033)	nucleus	72d37bc9-76cc-442d-9131-da0e273862db	180956	bab7432a-5cfe-45ea-928c-422d03c45cdd.h5ad
Transcriptomic cytoarchitecture reveals principles of human neocortex organization	e2808a6e-e2ea-41b9-b38c-4a08f1677f02	139054	5	18	10x 3' v3	primary auditory cortex	normal	male & female	29yo-60yo, 29-year-old stage (38035), 42-year-old stage (40447), 43-year-old stage (6414), 50-year-old stage (38142), 60-year-old stage (16016)	nucleus	d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	139054	e2808a6e-e2ea-41b9-b38c-4a08f1677f02.h5ad
Single-nucleus cross-tissue molecular reference maps to decipher disease gene function	4ed927e9-c099-49af-b8ce-a2652d069333	136908	7	32	10x 3' v2	anterior wall of left ventricle, esophagus muscularis mucosa, gastrocnemius, lingula of left lung	normal	male & female	20yo-70yo, third decade stage (10914), fifth decade stage (12505), sixth decade stage (72967), seventh decade stage (19565), eighth decade stage (20957)	nucleus	a3ffde6c-7ad2-498a-903c-d58e732f7470	209126	4ed927e9-c099-49af-b8ce-a2652d069333.h5ad
Transcriptomic cytoarchitecture reveals principles of human neocortex organization	be401db3-d732-408a-b0c4-71af0458b8ab	135462	5	18	10x 3' v3	anterior cingulate cortex	normal	male & female	29yo-60yo, 29-year-old stage (35470), 42-year-old stage (25585), 43-year-old stage (8837), 50-year-old stage (64358), 60-year-old stage (1212)	nucleus	d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	135462	be401db3-d732-408a-b0c4-71af0458b8ab.h5ad
The landscape of immune dysregulation in Crohn’s disease revealed through single-cell transcriptomic profiling in the ileum and colon	a37f857c-779f-464e-9310-3db43a1811e7	129568	36	18	10x 3' v2, 10x 3' v3	epithelium of small intestine, ileum, ileum lamina propria, lamina propria of small intestine, small intestine	normal	male & female	20yo-70yo, third decade stage (20708), fourth decade stage (22186), fifth decade stage (7546), sixth decade stage (19582), seventh decade stage (52148), eighth decade stage (7398)	cell	5c868b6f-62c5-4532-9d7f-a346ad4b50a7	201072	a37f857c-779f-464e-9310-3db43a1811e7.h5ad
Human CellCards Multi-Study CellRef 1.0 Atlas	eb499fd8-7000-419f-8854-926b9b61b11f	122445	21	46	10x 3' v2, 10x 3' v3	lung	normal	male & female	12yo-76yo, 12-year-old stage (3774), 13-year-old stage (10090), 17-year-old stage (2925), 20-year-old stage (2166), 23-year-old stage (4682), 25-year-old stage (7267), 29-year-old stage (9368), 35-year-old stage (9625), 39-year-old stage (1820), 42-year-old stage (4112), 45-year-old stage (1587), 50-year-old stage (615), 51-year-old stage (11975), 52-year-old stage (17624), 57-year-old stage (6045), 59-year-old stage (2892), 68-year-old stage (2651), 69-year-old stage (2735), 70-year-old stage (8625), 76-year-old stage (11867)	cell	f86d6317-7215-409e-bfda-3f4ded3dadaa	347970	eb499fd8-7000-419f-8854-926b9b61b11f.h5ad
Cortical brain samples from C9-ALS, C9-ALS/FTD, C9-FTD patients and age matched controls	0bc7235a-ae5a-479d-a487-510435377e55	120807	21	6	10x 3' v3	occipital cortex	amyotrophic lateral sclerosis, amyotrophic lateral sclerosis 26 with or without frontotemporal dementia, normal	male & female	43yo-73yo, 43-year-old stage (7561), 47-year-old stage (7446), 50-year-old stage (6981), 51-year-old stage (7897), 54-year-old stage (3587), 56-year-old stage (8040), 58-year-old stage (9093), 59-year-old stage (4734), 61-year-old stage (13210), 66-year-old stage (11760), 68-year-old stage (12988), 70-year-old stage (5720), 71-year-old stage (6889), 72-year-old stage (5400), 73-year-old stage (9501)	nucleus	aee9c366-f2fb-470b-8937-577d5d87d3fc	120807	0bc7235a-ae5a-479d-a487-510435377e55.h5ad
Human Brain Cell Atlas v1.0	f32c2c13-bb1a-4ffd-a457-60b64ecfa4cb	116576	4	11	10x 3' v3	cerebral cortex	normal	male & female	29yo-60yo, 29-year-old stage (12842), 42-year-old stage (12976), 50-year-old stage (39687), 60-year-old stage (51071)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	116576	f32c2c13-bb1a-4ffd-a457-60b64ecfa4cb.h5ad
A Unique Cellular Organization of Human Distal Airways and Its Disarray in Chronic Obstructive Pulmonary Disease	b61a921b-7fa3-4b42-b455-aaaf32447920	115788	17	44	10x 3' v2, 10x 3' v3	bronchus, segmental bronchus, terminal bronchus	chronic obstructive pulmonary disease, normal	male & female	11yo-67yo, 11-year-old stage (3853), 12-year-old stage (6914), 20-year-old stage (3334), 24-year-old stage (1857), 32-year-old stage (15775), 37-year-old stage (14069), 39-year-old stage (9723), 41-year-old stage (8915), 56-year-old stage (1943), 57-year-old stage (5519), 58-year-old stage (3599), 61-year-old stage (5037), 63-year-old stage (20535), 65-year-old stage (3997), 66-year-old stage (5936), 67-year-old stage (4782)	cell	4f30b962-d49b-4624-a233-64f048cf8632	115788	b61a921b-7fa3-4b42-b455-aaaf32447920.h5ad
A Coding and Non-Coding Atlas of the Human Arterial Cell	43245158-5ae1-4e71-a9a6-67eef49c26bc	113304	6	7	10x 3' v3	abdominal aorta, arch of aorta, ascending aorta, bulb of aorta, carotid artery segment, coronary artery, descending aorta, iliac artery, pulmonary artery, right coronary artery	normal	male & female	38yo-69yo, 38-year-old stage (15678), 39-year-old stage (23037), 46-year-old stage (28189), 48-year-old stage (6904), 67-year-old stage (19311), 69-year-old stage (20185)	cell	8f17ac63-aaba-44b5-9b78-60f121da4c2f	113304	43245158-5ae1-4e71-a9a6-67eef49c26bc.h5ad
Cortical brain samples from C9-ALS, C9-ALS/FTD, C9-FTD patients and age matched controls	3b8b5de4-3aa1-4ac6-8890-8d03c8219981	113106	16	6	10x 3' v3	frontal cortex	frontotemporal dementia, normal	male & female	58yo-96yo, 58-year-old stage (13166), 62-year-old stage (6161), 63-year-old stage (7887), 65-year-old stage (4927), 66-year-old stage (6856), 67-year-old stage (6126), 68-year-old stage (5788), 70-year-old stage (3951), 73-year-old stage (13662), 74-year-old stage (5500), 82-year-old stage (4894), 83-year-old stage (6357), 84-year-old stage (6718), 86-year-old stage (7519), 88-year-old stage (6208), 96-year-old stage (7386)	nucleus	aee9c366-f2fb-470b-8937-577d5d87d3fc	113106	3b8b5de4-3aa1-4ac6-8890-8d03c8219981.h5ad
Spatially organized multicellular immune hubs in human colorectal cancer	16023185-de21-4c0d-a9c8-73abdd52d142	112864	36	43	10x 3' v2, 10x 3' v3	colorectum	normal	male & female	35yo-90yo, 35-year-old stage (6878), 42-year-old stage (1961), 47-year-old stage (6726), 48-year-old stage (47), 49-year-old stage (6488), 50-year-old stage (2302), 51-year-old stage (2038), 52-year-old stage (606), 53-year-old stage (2363), 55-year-old stage (2967), 56-year-old stage (3091), 58-year-old stage (10450), 59-year-old stage (2506), 60-year-old stage (7022), 61-year-old stage (4057), 62-year-old stage (8184), 67-year-old stage (1466), 69-year-old stage (1547), 72-year-old stage (2803), 73-year-old stage (786), 76-year-old stage (5129), 77-year-old stage (3859), 81-year-old stage (20374), 82-year-old stage (3764), 89-year-old stage (4506), 90-year-old stage (944)	cell	4d82bd8e-8827-410b-8fc7-685b7dd92585	370115	16023185-de21-4c0d-a9c8-73abdd52d142.h5ad
Chromatin accessibility during human first-trimester neurodevelopment	19f1bec6-eeb7-4133-accc-992d745fef89	110246	6	28	10x multiome	brain, cerebellum, hindbrain, midbrain	normal	male & female	prenatal-prenatal, 10th week post-fertilization stage (22782), 12th week post-fertilization stage (40071), 13th week post-fertilization stage (14557), embryonic stage (32836)	nucleus	a66d41a7-f1de-4b70-b983-7a4b790a0d5d	166785	19f1bec6-eeb7-4133-accc-992d745fef89.h5ad
Ischemia Reperfusion Responses in Human Lung Transplants at the Single Cell Resolution	429d21fd-bb9a-4abf-922b-c15138524bdd	108613	12	13	10x 3' v3	lingula of left lung, lower lobe of right lung, middle lobe of right lung, upper lobe of left lung, upper lobe of right lung	normal	male & female	19yo-71yo, 19-year-old stage (13315), 28-year-old stage (13655), 36-year-old stage (18291), 37-year-old stage (23514), 43-year-old stage (8), 51-year-old stage (23343), 55-year-old stage (392), 64-year-old stage (612), 65-year-old stage (542), 66-year-old stage (14536), 71-year-old stage (405)	cell	9f29fcd0-7075-4420-bd61-e2ec1aebad89	108613	429d21fd-bb9a-4abf-922b-c15138524bdd.h5ad
Human Brain Cell Atlas v1.0	e1f595f6-ba2c-495e-9bee-7056f116b1e4	107301	3	10	10x 3' v3	cerebral cortex	normal	male	29yo-50yo, 29-year-old stage (33562), 42-year-old stage (26862), 50-year-old stage (46877)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	107301	e1f595f6-ba2c-495e-9bee-7056f116b1e4.h5ad
Bronchopulmonary Dysplasia	d68a8b48-abf0-4bd5-8834-155d34ec448a	104533	8	39	10x 3' v3	middle lobe of right lung	normal	male & female	5mo-1yo, 5-month-old stage (9784), 6-month-old stage (15929), 7-month-old stage (13335), 11-month-old stage (13602), 14-month-old stage (10519), 15-month-old stage (15034), 20-month-old stage (14369), 21-month-old stage (11961)	nucleus	3a5dbf8a-9b3e-4309-b4c5-d8a024f83734	271381	d68a8b48-abf0-4bd5-8834-155d34ec448a.h5ad
Protracted Neuronal Recruitment in the Temporal Lobe of Young Children	ecce9688-66ea-4600-98f7-84aed7421c01	104240	12	10	10x 3' v3	entorhinal cortex	normal	male & female	prenatal-79yo, 21st week post-fertilization stage (11050), newborn stage (0-28 days) (15432), 1-month-old stage (12544), 2-month-old stage (14454), 2-year-old stage (8363), 3-year-old stage (4033), 13-year-old stage (6948), 27-year-old stage (5869), 50-year-old stage (4559), 51-year-old stage (8445), 79-year-old stage (12543)	nucleus	cae8bad0-39e9-4771-85a7-822b0e06de9f	124917	ecce9688-66ea-4600-98f7-84aed7421c01.h5ad
The landscape of immune dysregulation in Crohn’s disease revealed through single-cell transcriptomic profiling in the ileum and colon	fe4b89d5-461e-440c-a5a8-621b37b122c0	96355	36	8	10x 3' v2, 10x 3' v3	epithelium of small intestine, ileum, ileum lamina propria, lamina propria of small intestine, small intestine	normal	male & female	20yo-70yo, third decade stage (7172), fourth decade stage (10044), fifth decade stage (1400), sixth decade stage (7640), seventh decade stage (58415), eighth decade stage (11684)	cell	5c868b6f-62c5-4532-9d7f-a346ad4b50a7	154136	fe4b89d5-461e-440c-a5a8-621b37b122c0.h5ad
Single-soma transcriptomics of tangle-bearing neurons in Alzheimer’s disease	85c60876-7f35-40c5-a256-7808d84c6ba5	96129	16	1	10x 3' v2, 10x 3' v3	prefrontal cortex	Alzheimer disease, normal	male & female	57yo-89yo, 57-year-old stage (6154), 61-year-old stage (4710), 62-year-old stage (7417), 66-year-old stage (5572), 67-year-old stage (13070), 68-year-old stage (6285), 71-year-old stage (5185), 72-year-old stage (5632), 73-year-old stage (4051), 79-year-old stage (6969), 80 year-old and over stage (7574), 81-year-old stage (9246), 87-year-old stage (5616), 89-year-old stage (8648)	cell	b953c942-f5d8-434f-9da7-e726ba7c1481	96129	85c60876-7f35-40c5-a256-7808d84c6ba5.h5ad
Molecular and cellular dynamics of the developing human neocortex at single-cell resolution	aa369999-a034-4ad9-b459-8a93c86ea77b	90566	13	29	10x multiome	forebrain, neocortex, prefrontal cortex, visual cortex	normal	male & female	prenatal-prenatal, Carnegie stage 21 (3201), Carnegie stage 23 (5619), 9th week post-fertilization stage (10180), 11th week post-fertilization stage (4814), 12th week post-fertilization stage (6088), 13th week post-fertilization stage (4947), 14th week post-fertilization stage (13352), 16th week post-fertilization stage (14767), 18th week post-fertilization stage (10786), 21st week post-fertilization stage (14785), 26th week post-fertilization stage (2027)	nucleus	ad2149fc-19c5-41de-8cfe-44710fbada73	232328	aa369999-a034-4ad9-b459-8a93c86ea77b.h5ad
scRNA-seq assessment of the human lung, spleen, and esophagus tissue stability after cold preservation	b07fb54c-d7ad-4995-8bb0-8f3d8611cabe	87947	6	15	10x 3' v2	epithelium of esophagus	normal	male & female	30yo-60yo, fourth decade stage (11730), fifth decade stage (23167), sixth decade stage (23159), seventh decade stage (29891)	cell	4d74781b-8186-4c9a-b659-ff4dc4601d91	87947	b07fb54c-d7ad-4995-8bb0-8f3d8611cabe.h5ad
Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia	7bb64315-9e5a-41b9-9235-59acf9642a3e	81427	35	31	10x 3' v2, 10x 3' v3, 10x 5' v1	body of stomach, cardia of stomach, duodenum, lower esophagus	normal	male & female, unknown	29yo-86yo, 29-year-old stage (2154), 34-year-old stage (902), 41-year-old stage (1064), 42-year-old stage (1027), 43-year-old stage (1996), 45-year-old stage (2541), 48-year-old stage (7337), 53-year-old stage (3083), 55-year-old stage (1915), 56-year-old stage (8388), 57-year-old stage (3414), 58-year-old stage (1312), 62-year-old stage (2782), 63-year-old stage (1986), 67-year-old stage (3796), 69-year-old stage (3397), 73-year-old stage (3314), 74-year-old stage (5836), 77-year-old stage (4048), 83-year-old stage (3140), 86-year-old stage (4080), unknown (13915)	cell	a18474f4-ff1e-4864-af69-270b956cee5b	293823	7bb64315-9e5a-41b9-9235-59acf9642a3e.h5ad
HVS: Human variation study	1fc48734-35ee-4372-885c-95fd2674c75a	79631	78	1	10x 3' v3	neocortex	normal	male & female	18yo-18yo, adult stage (79631)	cell	35928d1c-36fc-4f93-9a8d-0b921ab41745	79631	1fc48734-35ee-4372-885c-95fd2674c75a.h5ad
Automatic cell-type harmonization and integration across Human Cell Atlas datasets	31f657dc-1875-4c4b-a5ca-ce63b3ef3a82	79367	5	9	10x 3' v2	pancreas	normal	male & female	30yo-77yo, 30-year-old stage (34167), 46-year-old stage (5233), 53-year-old stage (22288), 59-year-old stage (9712), 77-year-old stage (7967)	nucleus	854c0855-23ad-4362-8b77-6b1639e7a9fc	121916	31f657dc-1875-4c4b-a5ca-ce63b3ef3a82.h5ad
Spatially resolved multiomics of human cardiac niches	d567b692-c374-4628-a508-8008f6778f22	76685	5	12	10x 3' v3, 10x multiome	apex of heart, heart left ventricle, heart right ventricle, left cardiac atrium, right cardiac atrium	normal	male & female	40yo-60yo, fifth decade stage (60074), sixth decade stage (2685), seventh decade stage (13926)	cell, nucleus	3116d060-0a8e-4767-99bb-e866badea1ed	704296	d567b692-c374-4628-a508-8008f6778f22.h5ad
